iter	RMSE
0	3063.402677
1	3005.973394
2	2951.392013
3	2897.400036
4	2844.998539
5	2794.838592
6	2744.952741
7	2696.999804
8	2650.455358
9	2605.095177
10	2561.066042
11	2517.969053
12	2476.421436
13	2435.681249
14	2396.294043
15	2357.866908
16	2320.806347
17	2285.147548
18	2250.406949
19	2216.521033
20	2183.700843
21	2151.66649
22	2120.812925
23	2091.051469
24	2062.330568
25	2034.894395
26	2007.817041
27	1981.397371
28	1956.038338
29	1931.321467
30	1907.62539
31	1884.868342
32	1863.07254
33	1841.6767
34	1820.411868
35	1800.419956
36	1780.291259
37	1760.757907
38	1742.015669
39	1724.345676
40	1707.331748
41	1690.807663
42	1674.425393
43	1658.956189
44	1643.822853
45	1628.848802
46	1614.82781
47	1601.001948
48	1587.407144
49	1574.401505
50	1562.210342
51	1550.122836
52	1538.838224
53	1527.582573
54	1516.181117
55	1505.277765
56	1494.58285
57	1484.839626
58	1475.03374
59	1465.438115
60	1456.616177
61	1447.882015
62	1439.473488
63	1431.653724
64	1423.681861
65	1415.723264
66	1408.328701
67	1400.382098
68	1393.429385
69	1386.550623
70	1380.008987
71	1373.716095
72	1367.769835
73	1361.870967
74	1356.115553
75	1350.667632
76	1344.487622
77	1339.394076
78	1333.782723
79	1328.99244
80	1324.665739
81	1320.287008
82	1315.940746
83	1311.563571
84	1307.118168
85	1302.917569
86	1299.070194
87	1294.97349
88	1291.167495
89	1287.607265
90	1283.513555
91	1279.969235
92	1276.601298
93	1273.638006
94	1270.110433
95	1266.456822
96	1263.412054
97	1260.634988
98	1257.185641
99	1253.90416
100	1251.085136
101	1248.493172
102	1245.672477
103	1243.269366
104	1240.708754
105	1237.981369
106	1235.286944
107	1232.835253
108	1230.625535
109	1228.727236
110	1226.523567
111	1223.845891
112	1221.548166
113	1219.406856
114	1217.418498
115	1215.659393
116	1213.284577
117	1211.334001
118	1209.634104
119	1207.915931
120	1206.361624
121	1204.057408
122	1202.225861
123	1200.363752
124	1198.911618
125	1197.51117
126	1195.896526
127	1194.406186
128	1193.17255
129	1191.761716
130	1190.366381
131	1188.420751
132	1186.621122
133	1184.974225
134	1183.655659
135	1182.187312
136	1181.092534
137	1179.839434
138	1178.217709
139	1176.850914
140	1175.609584
141	1174.559414
142	1173.527707
143	1172.64125
144	1171.248211
145	1169.911994
146	1168.892009
147	1167.652565
148	1166.587032
149	1165.530033
150	1164.655808
151	1163.790391
152	1162.617078
153	1161.857909
154	1160.515906
155	1159.671028
156	1159.031941
157	1158.19029
158	1157.18505
159	1156.340415
160	1155.185224
161	1154.441216
162	1153.662725
163	1152.471137
164	1151.331073
165	1150.355917
166	1149.394355
167	1148.214948
168	1147.132311
169	1146.054397
170	1145.107922
171	1144.372288
172	1143.146934
173	1142.514275
174	1141.679659
175	1140.754541
176	1139.915536
177	1139.194439
178	1138.400295
179	1137.367514
180	1136.438905
181	1135.638288
182	1134.620163
183	1133.684909
184	1133.014362
185	1131.875874
186	1131.032341
187	1130.382828
188	1129.700454
189	1129.003782
190	1128.4223
191	1127.682944
192	1126.90505
193	1126.376919
194	1125.559599
195	1124.819527
196	1124.19996
197	1123.576623
198	1122.798493
199	1122.147705
200	1121.369686
201	1120.61607
202	1119.909027
203	1119.080709
204	1118.462915
205	1117.818956
206	1117.291385
207	1116.28928
208	1115.371678
209	1114.717975
210	1114.047231
211	1113.407283
212	1112.999437
213	1112.245602
214	1111.568286
215	1111.125243
216	1110.272863
217	1109.740974
218	1109.168472
219	1108.521724
220	1107.766272
221	1107.216448
222	1106.36574
223	1105.735736
224	1105.2077
225	1104.276495
226	1103.715658
227	1103.014183
228	1102.453726
229	1101.763856
230	1100.989456
231	1100.073287
232	1099.591453
233	1098.882459
234	1098.339648
235	1097.948227
236	1097.352392
237	1096.684395
238	1096.289407
239	1095.864372
240	1095.167821
241	1094.45298
242	1093.826589
243	1093.244235
244	1092.880789
245	1092.443033
246	1091.814493
247	1091.157632
248	1090.751903
249	1090.280624
250	1089.807051
251	1089.260787
252	1088.397301
253	1087.787403
254	1087.309932
255	1086.630457
256	1085.842716
257	1085.314337
258	1084.939805
259	1084.360631
260	1083.768841
261	1083.307195
262	1082.818689
263	1082.356158
264	1081.73695
265	1081.329644
266	1080.803581
267	1080.410376
268	1079.914952
269	1079.443965
270	1078.853625
271	1078.464848
272	1077.890604
273	1077.387766
274	1076.994355
275	1076.424088
276	1076.054943
277	1075.596258
278	1075.202893
279	1074.640674
280	1074.071477
281	1073.583291
282	1073.235762
283	1072.726866
284	1072.173756
285	1071.717811
286	1071.342909
287	1070.863365
288	1070.42705
289	1070.138523
290	1069.663993
291	1069.266456
292	1068.571221
293	1068.180218
294	1067.75222
295	1067.340046
296	1066.833992
297	1066.360431
298	1065.742742
299	1065.247262
300	1064.788968
301	1064.43229
302	1063.890905
303	1063.151715
304	1062.707098
305	1062.331522
306	1061.907922
307	1061.640034
308	1060.948533
309	1060.594895
310	1060.030038
311	1059.454414
312	1059.001962
313	1058.619236
314	1058.181294
315	1057.68918
316	1057.290609
317	1056.834167
318	1056.377518
319	1055.950796
320	1055.621985
321	1055.04119
322	1054.633907
323	1054.335173
324	1053.965702
325	1053.502517
326	1053.203349
327	1052.714764
328	1052.309117
329	1051.827291
330	1051.641617
331	1051.27118
332	1050.743592
333	1050.249023
334	1049.588313
335	1049.042039
336	1048.744663
337	1048.478126
338	1048.087339
339	1047.692406
340	1047.264973
341	1046.97287
342	1046.676292
343	1046.194056
344	1045.63576
345	1045.335274
346	1045.024515
347	1044.577672
348	1044.024106
349	1043.659083
350	1043.225284
351	1042.833194
352	1042.379705
353	1042.03266
354	1041.533989
355	1040.946026
356	1040.459338
357	1040.031234
358	1039.572954
359	1039.280459
360	1038.885441
361	1038.686623
362	1038.348771
363	1037.831831
364	1037.381143
365	1037.062568
366	1036.80777
367	1036.406508
368	1036.01272
369	1035.703088
370	1035.211153
371	1034.820258
372	1034.427724
373	1033.998322
374	1033.685645
375	1033.426716
376	1033.116249
377	1032.531881
378	1032.15117
379	1031.753593
380	1031.240433
381	1030.822839
382	1030.395196
383	1030.15277
384	1029.755839
385	1029.371697
386	1028.959252
387	1028.512401
388	1028.083094
389	1027.741614
390	1027.34856
391	1026.989143
392	1026.709982
393	1026.477702
394	1026.184554
395	1025.705043
396	1025.413388
397	1024.963062
398	1024.680024
399	1024.427076
400	1024.086611
401	1023.682086
402	1023.325036
403	1022.935808
404	1022.550486
405	1022.303193
406	1021.999681
407	1021.686562
408	1021.324904
409	1021.074026
410	1020.653679
411	1020.357158
412	1020.020076
413	1019.732204
414	1019.413093
415	1019.151756
416	1018.690987
417	1018.27031
418	1017.855336
419	1017.261568
420	1016.83247
421	1016.467512
422	1016.16643
423	1015.682634
424	1015.483925
425	1015.066822
426	1014.76928
427	1014.257454
428	1013.766907
429	1013.457779
430	1012.976619
431	1012.493862
432	1012.242572
433	1011.948659
434	1011.656142
435	1011.259089
436	1010.874742
437	1010.617913
438	1010.389806
439	1010.116571
440	1009.50985
441	1009.225698
442	1008.805172
443	1008.377456
444	1008.052725
445	1007.73668
446	1007.477633
447	1007.031583
448	1006.76406
449	1006.412027
450	1006.083831
451	1005.753011
452	1005.503392
453	1005.233797
454	1004.906948
455	1004.463894
456	1004.123524
457	1003.812153
458	1003.331863
459	1002.990367
460	1002.643033
461	1002.265285
462	1001.953297
463	1001.77367
464	1001.311808
465	1000.960409
466	1000.644737
467	1000.359293
